step,train_loss,valid_loss,img_diff,hard_valid_loss,hard_img_diff 
1008,NA,314.1831,257.1178,543.1877,456.3686
1008,240.7849,NA,187.7310,NA,NA
1011,NA,320.4407,263.2618,539.9484,454.4051
1014,NA,312.3335,255.5790,544.3946,458.4879
1014,243.7160,NA,190.7358,NA,NA
1017,NA,317.9160,260.3996,543.3655,457.2318
1020,NA,309.2257,252.5579,537.6692,452.9089
1020,241.3728,NA,188.3069,NA,NA
1023,NA,319.7731,262.1063,547.8104,459.7184
1026,NA,316.0234,259.0834,536.7844,452.2269
1026,241.8529,NA,188.7748,NA,NA
1029,NA,315.3751,258.0416,537.9373,452.4521
1032,NA,314.5931,257.5663,543.1187,457.3316
1032,244.0412,NA,190.7824,NA,NA
1035,NA,315.9813,258.8408,544.2825,457.9478
1038,NA,314.4861,257.9867,539.7999,454.7563
1038,244.2406,NA,191.2494,NA,NA
1041,NA,313.5753,256.9416,538.4703,453.9388
1044,NA,318.6008,261.5976,536.0635,452.3622
1044,242.3666,NA,189.1450,NA,NA
1047,NA,314.6859,258.5339,537.9349,454.0962
1050,NA,315.1170,258.4907,531.9655,449.0713
1050,243.5643,NA,190.5916,NA,NA
1053,NA,316.2864,259.7289,534.8063,452.0310
1056,NA,313.4457,256.7349,534.3259,450.4091
1056,240.4007,NA,187.5473,NA,NA
1059,NA,313.1368,256.6657,535.2065,451.5917
1062,NA,316.0582,259.5306,532.9120,450.3923
1062,239.3694,NA,185.9572,NA,NA
1065,NA,314.7504,257.9672,541.4126,456.7839
1068,NA,313.8981,257.2681,537.0569,453.5274
1068,240.4906,NA,187.5907,NA,NA
1071,NA,313.4125,257.0548,536.0327,452.8999
